what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1366931728101
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1366931728106
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1366931728111
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1366931728114
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1366931728119
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1366931728121
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1366931728198
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1366931728202
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1366931728202
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1366931728331
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1366931728334
os,sysinfo,,,"win32",1366931728347
arch,sysinfo,,,"x86",1366931728347
ws,sysinfo,,,"win32",1366931728347
locale,sysinfo,,,"en_US",1366931728347
processors,sysinfo,,,"4",1366931728347
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1366931728347
java.runtime.version,sysinfo,,,"1.7.0_10-b18",1366931728347
java.specification.name,sysinfo,,,"Java Platform API Specification",1366931728347
java.specification.vendor,sysinfo,,,"Oracle Corporation",1366931728347
java.specification.version,sysinfo,,,"1.7",1366931728347
java.vendor,sysinfo,,,"Oracle Corporation",1366931728348
java.version,sysinfo,,,"1.7.0_10",1366931728348
java.vm.info,sysinfo,,,"mixed mode",1366931728348
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1366931728348
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1366931728348
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1366931728348
java.vm.specification.version,sysinfo,,,"1.7",1366931728348
java.vm.vendor,sysinfo,,,"Oracle Corporation",1366931728348
java.vm.version,sysinfo,,,"23.6-b04",1366931728348
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1366931728387
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1366931728703
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1366931729333
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1366931729543
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1366931729973
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1366931731560
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366931733442
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366931736908
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366931742164
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366931742363
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366931749029
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366931751190
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1366931751567
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1366931753058
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366931758728
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366931759211
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366931767553
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366931778605
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1366931787727
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1366931788358
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1366931788502
